row,Assembly,Length
248,Ref_Scaff,12142
249,Ref_Scaff,12095
250,Ref_Scaff,12034
251,Ref_Scaff,12027
252,Ref_Scaff,12002
253,Ref_Scaff,12001
254,Ref_Scaff,11985
255,Ref_Scaff,11983
256,Ref_Scaff,11958
257,Ref_Scaff,11951
258,Ref_Scaff,11807
259,Ref_Scaff,11763
260,Ref_Scaff,11743
261,Ref_Scaff,11569
262,Ref_Scaff,11522
263,Ref_Scaff,11498
264,Ref_Scaff,11430
265,Ref_Scaff,11220
266,Ref_Scaff,11148
267,Ref_Scaff,11126
268,Ref_Scaff,10091
269,Ref_Scaff,9865
270,Ref_Scaff,9368
271,Ref_Scaff,9341
272,Ref_Scaff,8346
273,Ref_Scaff,8007
274,Ref_Scaff,7722
275,Ref_Scaff,7314
276,Ref_Scaff,7123
277,Ref_Scaff,7003
278,Ref_Scaff,6936
279,Ref_Scaff,6900
280,Ref_Scaff,6860
281,Ref_Scaff,6860
282,Ref_Scaff,6825
283,Ref_Scaff,6698
284,Ref_Scaff,6546
285,Ref_Scaff,6396
286,Ref_Scaff,6294
287,Ref_Scaff,6237
288,Ref_Scaff,6193
289,Ref_Scaff,6076
290,Ref_Scaff,6062
291,Ref_Scaff,6041
292,Ref_Scaff,6000
293,Ref_Scaff,5984
294,Ref_Scaff,5968
295,Ref_Scaff,5952
296,Ref_Scaff,5915
297,Ref_Scaff,5891
298,Ref_Scaff,5832
299,Ref_Scaff,5772
300,Ref_Scaff,5698
301,Ref_Scaff,5564
302,Ref_Scaff,5555
303,Ref_Scaff,5520
304,Ref_Scaff,5465
305,Ref_Scaff,5463
306,Ref_Scaff,5387
307,Ref_Scaff,5383
308,Ref_Scaff,5360
309,Ref_Scaff,5324
310,Ref_Scaff,5323
311,Ref_Scaff,5316
312,Ref_Scaff,5281
313,Ref_Scaff,5232
314,Ref_Scaff,5189
315,Ref_Scaff,5182
316,Ref_Scaff,5098
317,Ref_Scaff,5061
318,Ref_Scaff,5060
319,Ref_Scaff,5057
320,Ref_Scaff,5026
321,Ref_Scaff,5000
322,Ref_Scaff,4996
323,Ref_Scaff,4994
324,Ref_Scaff,4986
325,Ref_Scaff,4967
326,Ref_Scaff,4939
327,Ref_Scaff,4933
328,Ref_Scaff,4917
329,Ref_Scaff,4903
330,Ref_Scaff,4888
331,Ref_Scaff,4879
332,Ref_Scaff,4865
333,Ref_Scaff,4820
334,Ref_Scaff,4815
335,Ref_Scaff,4785
336,Ref_Scaff,4705
337,Ref_Scaff,4701
338,Ref_Scaff,4608
339,Ref_Scaff,4581
340,Ref_Scaff,4573
341,Ref_Scaff,4553
342,Ref_Scaff,4515
343,Ref_Scaff,4471
344,Ref_Scaff,4465
345,Ref_Scaff,4452
346,Ref_Scaff,4436
347,Ref_Scaff,4400
348,Ref_Scaff,4395
349,Ref_Scaff,4381
350,Ref_Scaff,4378
351,Ref_Scaff,4377
352,Ref_Scaff,4370
353,Ref_Scaff,4361
354,Ref_Scaff,4336
355,Ref_Scaff,4310
356,Ref_Scaff,4310
357,Ref_Scaff,4305
358,Ref_Scaff,4295
359,Ref_Scaff,4289
360,Ref_Scaff,4273
361,Ref_Scaff,4272
362,Ref_Scaff,4256
363,Ref_Scaff,4231
364,Ref_Scaff,4225
365,Ref_Scaff,4222
366,Ref_Scaff,4222
367,Ref_Scaff,4202
368,Ref_Scaff,4197
369,Ref_Scaff,4188
370,Ref_Scaff,4183
371,Ref_Scaff,4182
372,Ref_Scaff,4163
373,Ref_Scaff,4150
374,Ref_Scaff,4135
375,Ref_Scaff,4085
376,Ref_Scaff,4081
377,Ref_Scaff,4072
378,Ref_Scaff,4059
379,Ref_Scaff,4030
380,Ref_Scaff,4013
381,Ref_Scaff,4012
382,Ref_Scaff,4006
383,Ref_Scaff,3991
384,Ref_Scaff,3984
385,Ref_Scaff,3970
386,Ref_Scaff,3964
387,Ref_Scaff,3960
388,Ref_Scaff,3950
389,Ref_Scaff,3941
390,Ref_Scaff,3932
391,Ref_Scaff,3926
392,Ref_Scaff,3924
393,Ref_Scaff,3921
394,Ref_Scaff,3913
395,Ref_Scaff,3913
396,Ref_Scaff,3906
397,Ref_Scaff,3871
398,Ref_Scaff,3864
399,Ref_Scaff,3858
400,Ref_Scaff,3818
401,Ref_Scaff,3807
402,Ref_Scaff,3806
403,Ref_Scaff,3806
404,Ref_Scaff,3775
405,Ref_Scaff,3755
406,Ref_Scaff,3745
407,Ref_Scaff,3737
408,Ref_Scaff,3730
409,Ref_Scaff,3717
410,Ref_Scaff,3716
411,Ref_Scaff,3713
412,Ref_Scaff,3708
413,Ref_Scaff,3681
414,Ref_Scaff,3660
415,Ref_Scaff,3650
416,Ref_Scaff,3649
417,Ref_Scaff,3648
418,Ref_Scaff,3646
419,Ref_Scaff,3638
420,Ref_Scaff,3622
421,Ref_Scaff,3622
422,Ref_Scaff,3603
423,Ref_Scaff,3603
424,Ref_Scaff,3602
425,Ref_Scaff,3593
426,Ref_Scaff,3582
427,Ref_Scaff,3574
428,Ref_Scaff,3557
429,Ref_Scaff,3554
430,Ref_Scaff,3553
431,Ref_Scaff,3553
432,Ref_Scaff,3553
433,Ref_Scaff,3537
434,Ref_Scaff,3527
435,Ref_Scaff,3527
436,Ref_Scaff,3523
437,Ref_Scaff,3519
438,Ref_Scaff,3503
439,Ref_Scaff,3502
440,Ref_Scaff,3499
441,Ref_Scaff,3498
442,Ref_Scaff,3490
443,Ref_Scaff,3478
444,Ref_Scaff,3477
445,Ref_Scaff,3473
446,Ref_Scaff,3466
447,Ref_Scaff,3463
448,Ref_Scaff,3458
449,Ref_Scaff,3434
450,Ref_Scaff,3402
451,Ref_Scaff,3396
452,Ref_Scaff,3389
453,Ref_Scaff,3386
454,Ref_Scaff,3375
455,Ref_Scaff,3374
456,Ref_Scaff,3373
457,Ref_Scaff,3365
458,Ref_Scaff,3348
459,Ref_Scaff,3347
460,Ref_Scaff,3341
461,Ref_Scaff,3313
462,Ref_Scaff,3308
463,Ref_Scaff,3302
464,Ref_Scaff,3299
465,Ref_Scaff,3290
466,Ref_Scaff,3284
467,Ref_Scaff,3277
468,Ref_Scaff,3275
469,Ref_Scaff,3268
470,Ref_Scaff,3262
471,Ref_Scaff,3259
472,Ref_Scaff,3259
473,Ref_Scaff,3254
474,Ref_Scaff,3252
475,Ref_Scaff,3234
476,Ref_Scaff,3227
477,Ref_Scaff,3223
478,Ref_Scaff,3218
479,Ref_Scaff,3213
480,Ref_Scaff,3209
481,Ref_Scaff,3206
482,Ref_Scaff,3201
483,Ref_Scaff,3201
484,Ref_Scaff,3197
485,Ref_Scaff,3196
486,Ref_Scaff,3195
487,Ref_Scaff,3190
488,Ref_Scaff,3174
489,Ref_Scaff,3173
490,Ref_Scaff,3171
491,Ref_Scaff,3162
492,Ref_Scaff,3159
493,Ref_Scaff,3157
494,Ref_Scaff,3156
495,Ref_Scaff,3154
496,Ref_Scaff,3144
497,Ref_Scaff,3129
498,Ref_Scaff,3123
499,Ref_Scaff,3123
500,Ref_Scaff,3120
501,Ref_Scaff,3102
502,Ref_Scaff,3100
503,Ref_Scaff,3100
504,Ref_Scaff,3089
505,Ref_Scaff,3085
506,Ref_Scaff,3080
507,Ref_Scaff,3080
508,Ref_Scaff,3077
509,Ref_Scaff,3076
510,Ref_Scaff,3073
511,Ref_Scaff,3073
512,Ref_Scaff,3065
513,Ref_Scaff,3059
514,Ref_Scaff,3058
515,Ref_Scaff,3046
516,Ref_Scaff,3044
517,Ref_Scaff,3043
518,Ref_Scaff,3025
519,Ref_Scaff,3024
520,Ref_Scaff,3013
521,Ref_Scaff,3010
522,Ref_Scaff,3009
523,Ref_Scaff,3002
524,Ref_Scaff,2999
525,Ref_Scaff,2999
526,Ref_Scaff,2996
527,Ref_Scaff,2991
528,Ref_Scaff,2984
529,Ref_Scaff,2982
530,Ref_Scaff,2982
531,Ref_Scaff,2971
532,Ref_Scaff,2964
533,Ref_Scaff,2957
534,Ref_Scaff,2956
535,Ref_Scaff,2945
536,Ref_Scaff,2943
537,Ref_Scaff,2937
538,Ref_Scaff,2937
539,Ref_Scaff,2928
540,Ref_Scaff,2927
541,Ref_Scaff,2926
542,Ref_Scaff,2924
543,Ref_Scaff,2922
544,Ref_Scaff,2922
545,Ref_Scaff,2919
546,Ref_Scaff,2916
547,Ref_Scaff,2914
548,Ref_Scaff,2911
549,Ref_Scaff,2910
550,Ref_Scaff,2905
551,Ref_Scaff,2904
552,Ref_Scaff,2903
553,Ref_Scaff,2899
554,Ref_Scaff,2893
555,Ref_Scaff,2889
556,Ref_Scaff,2884
557,Ref_Scaff,2882
558,Ref_Scaff,2882
559,Ref_Scaff,2882
560,Ref_Scaff,2881
561,Ref_Scaff,2877
562,Ref_Scaff,2876
563,Ref_Scaff,2871
564,Ref_Scaff,2860
565,Ref_Scaff,2860
566,Ref_Scaff,2858
567,Ref_Scaff,2855
568,Ref_Scaff,2849
569,Ref_Scaff,2848
570,Ref_Scaff,2846
571,Ref_Scaff,2844
572,Ref_Scaff,2841
573,Ref_Scaff,2836
574,Ref_Scaff,2834
575,Ref_Scaff,2833
576,Ref_Scaff,2830
577,Ref_Scaff,2829
578,Ref_Scaff,2828
579,Ref_Scaff,2825
580,Ref_Scaff,2823
581,Ref_Scaff,2822
582,Ref_Scaff,2822
583,Ref_Scaff,2820
584,Ref_Scaff,2819
585,Ref_Scaff,2815
